SiteName;SiteAddress;SiteCity;SitePostalCode;SitePhone;SiteType;AEDPlacementLocation;InstalledUnits;address;longitude;latitude
"ABS Friction";"525 Southgate Dr.,";"Guelph";"N1G 3W6";"";"";"";;"525 Southgate Dr.,Guelph , N1G 3W6";-80.2171407;43.4970847
"Arthur Area Recreation Complex";"158 Domville St.";"Arthur";"N0G 2E0";"(519) 848-3820";"Recreation Centre";"lobby";1;"158 Domville St.Arthur , N0G 2E0";-80.5357573;43.8367679
"Badenoch Community Centre";"4217 Watson St.";"Guelph";"N0B 2J0";"(519) 829-9572";"Community Centre";"main room entrance";1;"4217 Watson St.Guelph , N0B 2J0";;
"Belwood Comm Centre";"Queen Street, Belwood N0B 1J0";"Belwood";"N0B 1J0";"";"Recreation Centre";"";;"Queen Street, Belwood N0B 1J0Belwood , N0B 1J0";-80.32289;43.79153
"Canadian Red Cross -";"15 Yarmouth St.,";"Guelph";"N1H 4G3";"";"";"";;"15 Yarmouth St., Guelph , N1H 4G3";-80.25203;43.54612
"Centre Peel Public School";"7623 Sixth Line Mapleton Township, R. R. #2,";"Drayton";"";"";"";"";;"7623 Sixth Line Mapleton Township, R. R. #2, Drayton  ,";-80.67147;43.75483
"Centre Wellington Admin & Civic Centre";"1 Macdonald Square, Elora N0B 1S0";"Elora";"N0B 1S0";"(519) 846-9691";"Recreation Centre";"";;"1 Macdonald Square, Elora N0B 1S0Elora , N0B 1S0";-80.4306411;43.6829939
"Centre Wellington FD";"250 Queen St., W.,";"Fergus";"N1M 1S8";"";"";"";;"250 Queen St., W., Fergus , N1M 1S8";-80.37835;43.70153
"Clifford Arena & Rec Centre";"2 Brown St.";"Clifford";"N0G 1M0";"(519) 327-8100";"Sports Arena";"side door just off the kitchen";2;"2 Brown St.Clifford , N0G 1M0";-80.9770431;43.971216
"Clifford Arena & Rec Centre";"2 Brown St.";"Clifford";"N0G 1M0";"(519) 327-8100";"Sports Arena";"front lobby on left hand side";2;"2 Brown St.Clifford , N0G 1M0";-80.9770431;43.971216
"Conestoga College, Guelph Campus";"460 Speedvale Avenue West";"Guelph";"N1H 6N6";"(519) 824-9390";"College";"Inside main doors turn right at hallway AED on right wall";1;"460 Speedvale Avenue WestGuelph , N1H 6N6";-80.29426;43.53829
"Cutten Club Golf";"190 College Ave., E.,";"Guelph";"N1G 3B9";"";"";"";2;"190 College Ave., E., Guelph , N1G 3B9";-80.2263675;43.5368291
"Damascus Community Hall";"8947 Wellington Road 16, Damascus";"Damascus";"";"519-848-3620 ext. 23";"School - Elementary";"";;"8947 Wellington Road 16, DamascusDamascus ,";;
"Dixons Home Centre";"745 St. David St., N.,";"Fergus";"N1M 2L1";"";"";"";;"745 St. David St., N., Fergus , N1M 2L1";-80.38665;43.71064
"Dr Manning";"445 St. Andrew St., W.,";"Fergus";"N1M 1P2";"";"";"";;"445 St. Andrew St., W., Fergus , N1M 1P2";-80.38064;43.70233
"Dr. Alan K Israel";"71 James St.,";"Elora";"N0B 1S0";"";"";"";;"71 James St., Elora , N0B 1S0";-80.43113;43.68276
"Dr. Manning -";"445 St. Andrew St., W.,";"Fergus";"N1M 1P2";"";"";"";;"445 St. Andrew St., W., Fergus , N1M 1P2";-80.38064;43.70233
"Evergreen Seniors Centre";"683 Woolwich St.,";"Guelph";"N1H 3Y8";"";"";"";;"683 Woolwich St., Guelph , N1H 3Y8";-80.26997;43.5604
"Fergus Curling Club";"148 George St., W.,";"Fergus";"N1M 1H9";"";"";"";;"148 George St., W., Fergus , N1M 1H9";-80.3801298;43.706288
"Fergus Legion";"500 Blair St.,";"Fergus";"N1M 1S4";"";"";"";;"500 Blair St., Fergus , N1M 1S4";-80.3810298;43.7010803
"Fergus Sportsplex";"550 Belsyde Ave., Fergus N1M 3J2";"Fergus";"N1M 3J2";"(519) 842-2800";"Town Hall";"";;"550 Belsyde Ave., Fergus N1M 3J2Fergus , N1M 3J2";-80.36135;43.70836
"Gateway Drive Public School ";"33 Gateway Drive ";"Guelph";"";"";"";"";;"33 Gateway Drive  Guelph ,";-80.2750611;43.5172541
"GRCA(1) Rockwood Conservation Authority";"161 Fall Street, Rockwood N0B 2K0";"Rockwood";"N0B 2K0";"(519) 856-9543";"Camp";"";;"161 Fall Street, Rockwood N0B 2K0Rockwood , N0B 2K0";;
"GRCA(2) Guelph Lake Conservation Authority";"7743 Conservation Dr., RR 4 Guelph N1H 6J1";"Guelph";"N1H 6J1";"(519)824-5061";"Camp";"";;"7743 Conservation Dr., RR 4 Guelph N1H 6J1Guelph , N1H 6J1";;
"GRCA(3) - Belwood Lake Conservation Authority";"8282 Wellington County Rd. 18, RR #4 Fergus N1M 2W5";"Fergus";"N1M 2W5";"(519) 843-2979";"Camp";"";;"8282 Wellington County Rd. 18, RR #4 Fergus N1M 2W5Fergus , N1M 2W5";;
"GRCA(4) -Elora Gorge Conservation Authority";"7400 Wellington County Rd. 21, Box 356 Elora N0B 1S0";"Elora";"N0B 1S0";"(519) 846-9742";"Camp";"";;"7400 Wellington County Rd. 21, Box 356 Elora N0B 1S0Elora , N0B 1S0";-80.4418046;43.6691702
"Guelph Civic Museum";"6 Dublin Street";"Guelph";"N1H 4L5";"(519) 822-1260 X 2775";"Museum";"lobby";1;"6 Dublin StreetGuelph , N1H 4L5";-80.25046;43.5412899
"Guelph Legion";"57 Watson Parkway S.,";"Guelph";"N1L 1E3";"";"";"";;"57 Watson Parkway S., Guelph , N1L 1E3";-80.2084955;43.5615758
"Guelph Police Department";"15 Wyndham Street";"Guelph";"N1H 4L5";"(519) 836-1221";"Other";"2nd floor main corridor wall";1;"15 Wyndham StreetGuelph , N1H 4L5";-80.24802;43.54516
"Guelph Police department";"15 Wyndham Street";"Guelph";"N1h 4L5";"(519) 836-1221";"Other";"3rd floor - by stairwell C";1;"15 Wyndham StreetGuelph , N1h 4L5";-80.24802;43.54516
"Guelph Police Department";"15 Wyndham Street";"Guelph";"N1H 4C6";"(519) 824-1221";"Other";"Main floor - general office";1;"15 Wyndham StreetGuelph , N1H 4C6";-80.24624;43.54313
"Guelph-Eramosa - Royal Distributing APC";"7384 Wellington Rd 30";"Guelph";"N1H 6J2";"(519) 856-9596";"Community Centre";"inside main doors turn right at hallway AED on left wall";1;"7384 Wellington Rd 30Guelph , N1H 6J2";-80.3108617;43.5777124
"Harriston & Minto Community Complex";"111 George St. S.";"Harriston";"N0G 1Z0";"(519) 338-3015";"Sports Arena";"inside front door";2;"111 George St. S.Harriston , N0G 1Z0";-80.8629799;43.91326
"Harriston Seniors Centre";"Arthur Street";"Harriston";"N0G 1Z0";"no phone";"Seniors Centre";"inside main door on left wall";1;"Arthur StreetHarriston , N0G 1Z0";-80.868025;43.917075
"Holy Rosary Catholic School ";"365 Stevenson St. ";"Guelph";"";"";"";"";;"365 Stevenson St. Guelph  ,";;
"Holy Trinity Catholic School";"487 Grange Road, Guelph  N1E 7C4";"Guelph";"N1E 7C4";"(519) 821-0156";"School - Elementary";"";;"487 Grange Road, Guelph  N1E 7C4Guelph , N1E 7C4";-80.22121;43.56929
"Italian Canadian Club";"135 Ferguson St.,";"Guelph";"N1E 2Y9";"";"";"";;"135 Ferguson St., Guelph , N1E 2Y9";-80.2367035;43.5496276
"JD Hogarth Public School ";"360 Belsyde Ave. E ";"Fergus";"";"";"";"";;"360 Belsyde Ave. E Fergus  ,";;
"Jefferson Corporation Elora";"60 First Line Rd.,";"Elora";"N0B 1S0";"";"";"";;"60 First Line Rd., Elora , N0B 1S0";-80.4160886;43.6735448
"King George Public School ";"72 Lemon Street ";"Guelph";"";"";"";"";;"72 Lemon Street Guelph  ,";;
"Kohbukan Sisu Judo & Jiu Jitsu Club";"449 Laird Rd - Unit 7/8,";"Guelph";"";"";"";"";;"449 Laird Rd - Unit 7/8, Guelph ,";-80.20525;43.49482
"Lions Roy Grant Pool";"393 Parkside Drive, Mount Forest";"Mount Forest";"";"519-848-3620 ext. 23";"Community Centre";"";;"393 Parkside Drive, Mount ForestMount Forest ,";-80.72973;43.97835
"Marden Community Centre";"7366 Wellington Rd 30";"Guelph";"N1K 0A1";"(519) 856-9596";"Community Centre";"main lobby";1;"7366 Wellington Rd 30Guelph , N1K 0A1";-80.3129569;43.5762027
"Mary Phelan Catholic School ";"8 Bishop Court ";"Guelph";"";"";"";"";;"8 Bishop Court Guelph  ,";;
"Minto Twp  - Harriston Pool";"35 Raglan EHarriston, ON N0G 1Z0";"Palmerston";"N0G 1Z0";"(519) 338-2994";"Other";"";;"35 Raglan EHarriston, ON N0G 1Z0Palmerston , N0G 1Z0";-80.87012;43.91101
"Minto Twp - Palmerston Pool";"160 Main Street E., Palmerston";"Harriston";"N0G 2P0";"(519) 343-5720";"Other";"";;"160 Main Street E., PalmerstonHarriston , N0G 2P0";-80.8474763;43.8343055
"Mount Forest & District Sports Complex";"850 Princess St.";"Mount Forest";"N0G 2L3";"(519) 323-1801";"Sports Arena";"lobby";1;"850 Princess St.Mount Forest , N0G 2L3";-80.74544;43.97355
"Murray McEwen";"5475 2nd line";"Erin";"";"";"";"";;"5475 2nd line Erin ,";-80.1401;43.70611
"Nature Resort Freelton";"1218 Concession #8 W.,";"Puslinch";"N0B 2J0";"";"";"";;"1218 Concession #8 W., Puslinch , N0B 2J0";-80.2582;43.40594
"Nestle Waters";"101 Brock Road S.,";"Guelph";"N1H 6H9";"";"";"";3;"101 Brock Road S., Guelph , N1H 6H9";-80.14251;43.46532
"NGF Mfg - Guelph";"255 York Rd.,";"Guelph";"N1E 3G4";"";"";"";;"255 York Rd., Guelph , N1E 3G4";-80.23117;43.54548
"Paisley Road Public School";"406 Paisley Road ";"Guelph";"";"";"";"";;"406 Paisley Road Guelph  ,";;
"Palmerston & District Community Centre";"Cavan St.";"Palmerston";"N0G 2P0";"(519) 343-3860";"Sports Arena";"front door just before auditorium";2;"Cavan St.Palmerston , N0G 2P0";-80.85124;43.82792
"Pine Meadows - Belwood";"8473 Wellington Rd 19,";"Belwood";"N0B 1J0";"";"";"";;"8473 Wellington Rd 19, Belwood , N0B 1J0";-80.2842443;43.7758376
"Puslinch Community Centre";"Wellington County Rd. 26";"Aberfoyle";"N1H 6H9";"(519) 763-1226";"Community Centre";"lobby";2;"Wellington County Rd. 26Aberfoyle , N1H 6H9";-80.1334;43.47313
"Puslinch Township Office";"7404 Wellington Rd 34 W.";"Aberfoyle RR#3 Guelph";"N1H 6H9";"(519) 763 - 1226";"Town Hall";"Main foyer";1;"7404 Wellington Rd 34 W.Aberfoyle RR#3 Guelph , N1H 6H9";-80.15813;43.47187
"Reliable Ford - Fergus";"990 Tower St.,";"Fergus";"N1M 3N7";"";"";"";;"990 Tower St., Fergus , N1M 3N7";-80.3579539;43.6899463
"Rockmosa Community Centre";"74 Christie St.";"Rockwood";"N0B 2K0";"(519) 856-9596";"Community Centre";"main lobby";1;"74 Christie St.Rockwood , N0B 2K0";-80.14974;43.621
"Saint Peter Catholic School";"150 Westwood Road, Guelph  N1H 7G1";"Guelph";"N1H 7G1";"(519) 836-3730";"School - Elementary";"";;"150 Westwood Road, Guelph  N1H 7G1Guelph , N1H 7G1";-80.284464;43.5324607
"Separate School Board  - Lourdes HS";"54 Westmount Rd.";"Guelph";"N1H 5H7";"(519) 836-2170";"School - Secondary";"main foyer outside gymnasium";1;"54 Westmount Rd.Guelph , N1H 5H7";-80.2672874;43.5480969
"Separate School Board - St. James HS";"57 Victoria Rd N., Guelph";"Guelph";"N1E 5G9";"(519) 822-4290";"School - Secondary";"outside gymnasium";1;"57 Victoria Rd N., GuelphGuelph , N1E 5G9";-80.2339886;43.5593375
"St John Catholic School Guelph";"63 Victoria Road, Guelph   N1E 5G9";"Guelph";"N1E 5G9";"(519) 824-4710";"School - Elementary";"";;"63 Victoria Road, Guelph   N1E 5G9Guelph , N1E 5G9";-80.23421;43.55984
"St. Francis of Assisi Catholic School ";"287 Imperial Road ";"Guelph";"";"";"";"";;"287 Imperial Road Guelph  ,";;
"St. Ignatius School Guelph";"251 Colonial Drive, Guelph  N1L 0G4";"Guelph";"N1L 0G4";"(519) 822-6192";"School - Elementary";"";;"251 Colonial Drive, Guelph  N1L 0G4Guelph , N1L 0G4";-80.1798452;43.5161792
"St. John Bosco Catholic School ";"19 Northumberland Road ";"Guelph";"";"";"";"";;"19 Northumberland Road Guelph  ,";;
"St. John Brebeuf School";"30 Millwood Road, Erin";"Erin";"N0B 1T0";"(519) 833-9994";"School - Elementary";"main foyer outside gymnasium";1;"30 Millwood Road, ErinErin , N0B 1T0";-80.0594762;43.7701843
"St. John's School - Arthur";"315 Tucker St., Arthur";"Arthur";"N0G 1A0";"(519) 848-2445";"School - Elementary";"in gymnasium on stage wall";1;"315 Tucker St., ArthurArthur , N0G 1A0";;
"St. Joseph Catholic School ";"10 Guelph Street ";"Guelph";"";"";"";"";;"10 Guelph Street Guelph ,";;
"St. Josephs Catholic School Fergus";"150 Strathallan Street, Fergus  N1M 1A1";"Fergus";"N1M 1A1";"(519) 843-3810";"School - Elementary";"";;"150 Strathallan Street, Fergus  N1M 1A1Fergus , N1M 1A1";-80.3876681;43.712789
"St. Joseph's Church, Fergus";"420 George St., W.,";"Fergus";"N1M 1J6";"";"";"";;"420 George St., W., Fergus , N1M 1J6";-80.38215;43.7033
"St. Mary's School - Elora";"251 Irvine Street, Elora";"Elora";"N0B 1S0";"(519) 846-9921";"School - Elementary";"outside gymnasium doors";1;"251 Irvine Street, EloraElora , N0B 1S0";-80.42739;43.68952
"St. Mary's School - Mount Forest";"390 Parkside Drive, Mount Forest";"Mount Forest";"N0G 2L3";"(519) 323-2586";"School - Elementary";"outside gymnasium doors";1;"390 Parkside Drive, Mount ForestMount Forest , N0G 2L3";-80.72912;43.97862
"St. Patrick School Guelph";"391 Victoria Road N., Guelph   N1E 5J9";"Guelph";"N1E 5J9";"(519) 822-0200";"School - Elementary";"";;"391 Victoria Road N., Guelph   N1E 5J9Guelph , N1E 5J9";-80.25688;43.57677
"St. Pauls School - Guelph";"182 Clairfields Dr., E., Guelph";"Guelph";"N1L 1N4";"(519) 824-9470";"School - Elementary";"outside gymnasium doors community room side";1;"182 Clairfields Dr., E., GuelphGuelph , N1L 1N4";-80.18826;43.50897
"UGDSB - Aberfoyle Public School";"16 Old Brock Rd.";"Guelph,";"N1H 6H9";"(519) 763-7040";"School - Elementary";"outside main office";1;"16 Old Brock Rd. Guelph,  , N1H 6H9";-80.14775;43.47256
"UGDSB - Alma Public School";"12 Simpson St. E., Alma";"Alma";"N0B 1A0";"(519) 846-5110";"School - Elementary";"outside gymnasium";1;"12 Simpson St. E., Alma Alma , N0B 1A0";-80.5445699;43.74967
"UGDSB - Arthur Public School";"155 Conestoga Street, Arthur, N0G 1A0";"Arthur";"N0G 1A0";"(519) 848-3793";"School - Elementary";"";;"155 Conestoga Street, Arthur, N0G 1A0Arthur , N0G 1A0";-80.4849;43.81466
"UGDSB - Brant Avenue";"64 Brant Ave., Guelph N1E 1G2";"Guelph";"N1H 1G2";"(519) 824-2671";"School - Elementary";"";;"64 Brant Ave., Guelph N1E 1G2Guelph , N1H 1G2";-80.2529517;43.5781462
"UGDSB - Brisbane Public School";"9426 Wellington Rd. 124 - RR#2 Erin N0B 1T0";"Erin";"N0B 1T0";"(519) 833-9621";"School - Elementary";"";;"9426 Wellington Rd. 124 - RR#2 Erin N0B 1T0Erin , N0B 1T0";-80.0736853;43.7469025
